"ID","Entry","Line","Acc","Race","Stock","Geo.class","Elevation.class","Group","Lat","Lon","Elevation","Block","ABS_X","ABS_Y","P_code","P_level","Seed_wt_12k","Mites","Stem","Height","Leaf.Area","Spad","Leaf_FW","Root_FW"
"MZ65069",128,"AN_24","MEXI103","CONICO","CIMMYTMA-016007","A","H","A",19.353139,-99.796835,2636,1,162,743,"P1",1,2.31,0,0.5,21.5,276,24,11.29,7.88
"MZ65070",132,"AN_14","MICH414","MUSHIT","CIMMYTMA-002098","A","H","A",19.73333333,-102.0833333,2129,1,171,743,"P1",1,4.47,1,0.6,29,336.3,22.2,18.39,13.15
"MZ65071",103,"SA_28.High","PIUR106","","CIMMYTMA-012440","S","H","S.H",-4.635925,-79.710107,2641,1,181,743,"P1",1,3.8,1,0.6,14.5,283.3,26.8,10.9,20.5
"MZ65072",32,"Mex_14.High","OAXA350","CONICO","CIMMYTMA-006081","M","H","M.H",17.190837,-97.867153,2338,1,190,743,"P1",1,2.9,1,0.5,13,276.6,25.9,10.52,18.52
"MZ65073",20,"C_4","","","Mo17","C","N","C",NA,NA,NA,1,85,753,"P1",1,3.37,0,0.4,9.5,147.6,25.9,4.79,6.62
"MZ65074",130,"AN_23","MEXI250","CHALQU","CIMMYTMA-016600","A","H","A",19.622791,-98.914614,2259,1,95,753,"P1",1,4.12,0,0.6,20,372.6,25.9,14.31,14.88
"MZ65075",108,"SA_3.High","ECUAX14210","MEZCLA","CIMMYTMA-013311","S","H","S.H",-3.620286,-79.237167,2497,1,104,753,"P1",1,6.71,0,0.3,8.5,65.4,39.1,2.4,1.2
"MZ65076",144,"AN_22","MICH411","CHALQU","CIMMYTMA-009187","A","H","A",19.518555,-101.219653,2229,1,114,753,"P1",1,5.02,1,0.6,28,400.7,32.4,5.8,7.5
"MZ65077",48,"Mex_22.Low","VERA201","TEPECI","CIMMYTMA-003266","M","L","M.L",21.1,-97.75,88,1,123,753,"P1",1,5.02,0,1.5,16,361.4,29.2,11,14.5
"MZ65078",100,"SA_26.High","ECUA8833","MISHCA","CIMMYTMA-021797","S","H","S.H",-0.148041,-78.457937,2890,1,133,753,"P1",1,5.55,0,0.5,24.5,271.9,33.3,10.9,8.86
